"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",3199.92856,2833.7612,3207.46944,2838.59976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2429.31524,3256.76376,3109.53212,2777.57616,3176.08136,2434.57904,2749.80412,3240.43896,3113.47616,2514.43324,2789.7914,3264.08976,2188.97404,3186.83936,3174.46976,2785.5176,2728.0956,2460.67388,3114.28988,3244.87636,2464.97476,2705.5264,3264.08976,3107.25212,2660.43656,3057.26652,2378.68576,2451.56724,2951.7761,2822.60016,2541.56056,2755.08396,2518.13164,3212.88056,2435.35924,2407.52064,2397.8126,2650.02824,2844.48562,3246.28536,3121.42016,3149.85176,3054.17952,2807.47176,2471.408,3136.45752,2600.81836,2851.54416,2557.53636,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2694.02536,2807.06736,3070.78456,3298.40116,2507.03644,2822.60016,3046.51136,2312.38016,2876.96256,2712.37896,2771.72616,3005.75692,3107.30112,3162.43944,3244.80216,3234.92716,2523.08604,2803.97716,2476.62248,2939.785,3262.52376,3142.53344,3008.70736,3087.58976,2842.3492,2954.90536
"2",3199.92856,2898.0032,3207.46944,2860.99976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2474.11096,2517.62636,2751.39006,2973.42736,3175.59936,2763.95896,2496.00324,3256.76376,3109.53212,2777.57616,3271.17936,2434.57904,2868.43272,3240.43896,3132.92416,2582.16324,2789.7914,3264.08976,2256.70404,3271.17936,3246.96776,2787.0476,2909.6826,2591.78188,3114.28988,3244.87636,2562.28576,2712.1904,3264.08976,3107.25212,2660.43656,3059.41452,2403.56256,2451.56724,2951.7761,2822.60016,2811.45256,2755.08396,2518.13164,3212.88056,2435.35924,2515.36764,2397.8126,2809.30424,2970.86712,3246.28536,3121.42016,3273.60576,3056.21952,2876.53076,2471.408,3136.45752,2794.61376,2851.54416,2782.19736,2563.02782,2936.4686,2846.37336,2838.1142,3110.33352,2404.39474,2435.35924,3181.86536,3295.08476,3261.33976,2699.40736,2807.06736,3196.60456,3298.40116,2544.32244,2822.60016,3046.51136,2375.70716,2876.96256,2841.36296,2771.72616,3051.63642,3107.30112,3164.31144,3321.01416,3234.92716,2523.08604,2803.97716,2571.41348,2939.785,3262.52376,3273.87024,3008.70736,3087.58976,2842.3492,2954.90536
"3",3322.99056,2898.0032,3207.46944,2879.49976,2804.77816,2501.83496,3298.40116,3144.14576,2834.0292,2484.48996,2582.48736,2844.68296,2973.42736,3281.22886,2899.71396,2501.49624,3341.05526,3109.53212,2801.67576,3271.17936,2538.75804,2890.89072,3307.32696,3210.27016,2620.50324,2791.9394,3266.06576,2295.04404,3271.17936,3246.96776,2787.0476,2909.6826,2612.74188,3177.73688,3297.75136,2562.28576,2714.4314,3330.88376,3113.18012,2887.52756,3059.41452,2403.56256,2498.96424,2951.7761,2826.82416,2821.02856,2762.99396,2562.96664,3307.34856,2435.35924,2515.36764,2397.8126,2809.30424,2970.86712,3246.28536,3121.42016,3273.60576,3056.21952,2880.75476,2518.417,3139.31752,2834.34276,2873.94416,2782.19736,2665.55162,3012.1746,2888.43336,2838.1142,3214.68702,2498.09964,2435.35924,3181.86536,3295.08476,3261.33976,2699.40736,2872.89696,3213.24656,3347.98716,2544.32244,2880.08216,3107.74536,2388.06716,3095.16606,2845.58696,2850.80416,3129.15642,3185.51112,3186.58044,3321.01416,3252.50616,2574.38304,2803.97716,2571.41348,2939.785,3262.52376,3273.87024,3204.09736,3087.58976,2938.1372,2954.90536
"4",3322.99056,2986.8812,3238.90784,2879.49976,2810.50316,2501.83496,3358.03416,3144.14576,2834.0292,2566.84096,2584.87236,2844.68296,3204.09736,3281.22886,3026.01296,2620.69624,3341.05526,3185.51112,2801.67576,3285.50736,2581.59804,2893.52912,3307.32696,3210.27016,2653.72324,2791.9394,3266.06576,2302.38564,3285.50736,3246.96776,2791.6936,2909.6826,2612.74188,3189.90088,3308.64936,2562.28576,2839.4354,3330.88376,3113.18012,2887.52756,3091.28652,2555.59576,2530.94124,2987.6483,2884.30616,2965.29656,2762.99396,2594.94364,3307.34856,2435.35924,2595.28764,2531.9856,2829.40704,2983.83012,3246.28536,3139.18016,3273.60576,3086.37902,2885.50676,2630.851,3154.86752,2849.44776,2873.94416,2782.19736,2686.02422,3012.1746,2888.43336,2838.1142,3214.68702,2498.09964,2435.35924,3271.17936,3356.71176,3261.33976,2823.42536,2896.04886,3213.24656,3347.98716,2573.16244,2884.30616,3107.74536,2388.06716,3095.16606,2845.58696,2878.08416,3129.15642,3185.51112,3186.58044,3321.01416,3304.68216,2605.33404,2803.97716,2571.41348,2939.785,3306.60076,3273.87024,3233.06736,3087.58976,2938.1372,3204.09736
"5",3322.99056,2986.8812,3307.65224,2879.49976,2810.50316,2501.83496,3358.03416,3233.74376,2834.0292,2584.33896,2584.87236,2860.21896,3233.06736,3281.22886,3026.01296,2620.69624,3341.05526,3185.51112,2803.05276,3285.50736,2620.07804,2893.52912,3307.32696,3210.27016,2655.70324,2792.4704,3266.06576,2405.82084,3285.50736,3246.96776,2793.8756,2909.6826,2676.97188,3189.90088,3308.64936,2580.37176,2862.0674,3330.88376,3113.18012,3075.04056,3097.32252,2555.59576,2601.08124,2987.6483,2884.30616,2965.29656,2762.99396,2663.44364,3322.99056,2435.35924,2596.68764,2531.9856,2829.40704,2983.83012,3247.38136,3139.18016,3273.60576,3165.67302,2885.50676,2630.851,3154.86752,2849.44776,2892.09416,2782.19736,2686.02422,3012.1746,2888.43336,2893.046,3215.70102,2498.09964,2478.82084,3271.17936,3356.71176,3264.08976,2823.42536,2896.04886,3213.24656,3347.98716,2574.33744,2890.82116,3109.09536,2470.36316,3095.16606,2852.10196,2878.08416,3129.64592,3185.51112,3186.58044,3321.01416,3304.68216,2644.28404,2803.97716,2573.72248,2939.785,3319.55376,3273.87024,3233.06736,3087.58976,2938.1372,3233.06736
"6",3322.99056,2986.8812,3307.65224,2879.49976,2856.85616,2501.83496,3358.03416,3233.74376,2834.0292,2584.33896,2584.87236,2860.21896,3233.06736,3281.22886,3026.01296,2620.69624,3341.05526,3185.51112,2809.23876,3285.50736,2623.35104,3040.05112,3307.32696,3225.14816,2669.45924,2792.4704,3266.06576,2574.43764,3285.50736,3246.96776,2919.6236,2909.6826,2677.12788,3189.90088,3308.64936,2580.37176,2868.5824,3330.88376,3113.18012,3075.04056,3120.90152,2555.59576,2601.08124,3013.3192,2884.30616,2965.29656,2850.45126,2663.78364,3322.99056,2435.35924,2617.68764,2531.9856,2829.40704,2983.83012,3248.94936,3139.18016,3273.60576,3165.94182,2885.50676,2695.1,3154.86752,3025.65576,2892.09416,2782.19736,2686.02422,3012.1746,2888.43336,2893.046,3215.77942,2515.76264,2551.62084,3271.17936,3356.71176,3330.88376,2823.42536,2930.75886,3213.24656,3347.98716,2574.33744,2895.82416,3119.90336,2470.61316,3099.65106,2852.10196,2878.08416,3129.64592,3185.51112,3257.81744,3321.01416,3304.68216,2644.28404,2944.56066,2589.05248,2939.785,3343.48776,3273.87024,3233.06736,3087.58976,2938.1372,3233.06736
"7",3322.99056,2986.8812,3307.65224,2879.49976,2874.10416,2501.83496,3358.03416,3233.74376,2834.0292,2584.33896,2675.59236,2860.21896,3233.06736,3281.22886,3026.01296,2620.69624,3341.05526,3185.51112,2833.07616,3285.50736,2660.58104,3040.05112,3307.32696,3225.14816,2721.89924,2918.9624,3266.06576,2574.43764,3285.50736,3246.96776,2919.6236,2909.6826,2677.68788,3189.90088,3308.64936,2580.37176,2868.5824,3330.88376,3179.12612,3075.04056,3134.89552,2555.59576,2609.69124,3060.7562,2906.32736,2965.29656,2850.45126,2663.78364,3322.99056,2435.35924,2617.68764,2531.9856,2829.40704,2983.83012,3250.87536,3154.08946,3273.60576,3165.94182,2885.50676,2695.875,3202.29352,3025.65576,2892.09416,2782.19736,2729.42492,3012.1746,2914.47696,2920.0389,3215.77942,2515.76264,2551.62084,3285.50736,3356.71176,3343.48776,2841.70536,2930.96046,3213.24656,3347.98716,2748.16744,2895.82416,3119.90336,2637.92966,3099.65106,2852.10196,2878.08416,3129.64592,3185.51112,3273.87024,3321.01416,3304.68216,2647.02004,2944.56066,2589.05248,3013.693,3343.48776,3273.87024,3233.06736,3087.58976,2938.1372,3233.06736
"8",3322.99056,2986.8812,3307.65224,2879.49976,2874.10416,2605.01496,3358.03416,3233.74376,2853.2531,2584.33896,2716.65936,2860.21896,3233.06736,3281.22886,3026.01296,2620.69624,3341.05526,3185.51112,2835.92616,3285.50736,2682.66104,3040.05112,3307.32696,3225.14816,2721.89924,2918.9624,3266.06576,2574.43764,3285.50736,3246.96776,2919.6236,2936.5716,2677.68788,3189.90088,3308.64936,2580.37176,2868.5824,3330.88376,3179.12612,3075.04056,3163.69152,2555.59576,2630.85124,3060.7562,2922.60926,2965.29656,2850.45126,2663.78364,3322.99056,2435.35924,2617.68764,2531.9856,2829.40704,3070.81512,3250.87536,3154.08946,3273.60576,3165.94182,2885.50676,2695.915,3202.29352,3025.65576,2892.09416,2782.19736,2752.32892,3013.6876,2930.75886,2920.0389,3215.77942,2515.76264,2603.82084,3285.50736,3356.71176,3343.48776,2841.70536,2930.96046,3213.24656,3352.54116,2748.16744,2895.82416,3119.90336,2637.92966,3099.65106,2852.10196,2878.08416,3139.20492,3185.51112,3273.87024,3334.89216,3304.68216,2647.02004,2944.56066,2639.62748,3013.693,3343.48776,3273.87024,3233.06736,3124.70576,2938.1372,3233.06736
"9",3322.99056,2986.8812,3307.65224,2879.49976,2874.10416,2626.07496,3358.03416,3233.74376,2882.5014,2584.33896,2716.65936,2860.21896,3233.06736,3281.22886,3026.01296,2620.69624,3341.05526,3185.51112,2937.10616,3285.50736,2725.68004,3040.05112,3307.32696,3225.14816,2721.89924,2918.9624,3266.06576,2574.43764,3285.50736,3246.96776,2919.6236,2936.5716,2677.68788,3189.90088,3308.64936,2580.37176,2868.5824,3330.88376,3179.12612,3075.04056,3163.69152,2555.59576,2638.45124,3060.7562,2922.60926,2965.29656,2860.59846,2690.17364,3322.99056,2435.35924,2617.68764,2531.9856,2829.40704,3096.24912,3251.56536,3219.72646,3273.60576,3165.94182,2891.19576,2696.965,3202.29352,3025.65576,2892.09416,2782.19736,2752.32892,3025.8336,2930.96046,2920.0389,3215.77942,2515.76264,2603.82084,3285.50736,3356.71176,3343.48776,2841.70536,2930.96046,3213.24656,3352.54116,2748.16744,2895.82416,3119.90336,2637.92966,3099.65106,2852.10196,2878.08416,3139.20492,3185.51112,3273.87024,3334.89216,3304.68216,2670.54004,2944.56066,2659.79948,3013.693,3343.48776,3273.87024,3233.06736,3124.70576,2938.1372,3233.06736
"10",3322.99056,3066.8312,3323.25504,2879.49976,2874.10416,2664.81496,3358.03416,3233.74376,2932.4214,2584.33896,2716.65936,2860.21896,3233.06736,3281.22886,3026.01296,2647.33624,3341.05526,3185.51112,2937.10616,3285.50736,2733.28004,3040.05112,3307.32696,3225.14816,2721.89924,2918.9624,3266.06576,2579.72754,3285.50736,3246.96776,2919.6236,2936.5716,2677.68788,3189.90088,3308.64936,2580.37176,2890.5236,3330.88376,3179.12612,3075.04056,3163.69152,2555.59576,2638.45124,3060.7562,2922.60926,2965.29656,2860.59846,2702.47364,3322.99056,2435.35924,2617.68764,2531.9856,2829.40704,3096.24912,3251.56536,3219.72646,3273.60576,3165.94182,2891.19576,2832.298,3202.29352,3025.65576,2953.85366,2782.19736,2758.66602,3025.8336,2930.96046,2980.2029,3215.77942,2515.76264,2603.82084,3285.50736,3356.71176,3343.48776,2841.70536,2930.96046,3213.24656,3352.54116,2748.16744,2895.82416,3119.90336,2637.92966,3099.65106,2852.10196,2889.25916,3139.20492,3185.51112,3273.87024,3334.89216,3304.68216,2671.31504,2944.56066,2659.79948,3013.693,3343.48776,3273.87024,3233.06736,3124.70576,2938.1372,3233.06736
"11",3322.99056,3066.8312,3323.25504,2945.39626,2874.10416,2667.69496,3358.03416,3233.74376,2946.9214,2584.33896,2716.65936,2860.21896,3233.06736,3281.22886,3026.01296,2649.81624,3341.05526,3185.51112,2937.10616,3285.50736,2735.38004,3040.05112,3307.32696,3225.14816,2721.89924,2918.9624,3266.46176,2579.72754,3285.50736,3246.96776,2919.6236,2936.5716,2677.68788,3189.90088,3308.64936,2580.37176,2905.6605,3330.88376,3183.87812,3075.04056,3163.69152,2555.59576,2638.45124,3071.0492,2922.60926,2965.29656,2860.59846,2707.57364,3322.99056,2478.92484,2620.96064,2531.9856,2829.40704,3096.24912,3335.55336,3219.72646,3273.60576,3171.23182,2891.19576,2861.488,3214.45352,3025.65576,2953.85366,2790.35736,2758.66602,3025.8336,2930.96046,2980.2029,3215.77942,2578.40764,2616.42084,3285.50736,3356.71176,3343.48776,2841.70536,2930.96046,3213.24656,3352.54116,2772.01744,2895.82416,3119.90336,2637.92966,3099.65106,2852.10196,2907.30916,3139.20492,3185.51112,3273.87024,3334.89216,3304.68216,2671.31504,2944.56066,2659.79948,3013.693,3343.48776,3273.87024,3233.06736,3124.70576,2938.1372,3233.06736
"12",3322.99056,3066.8312,3323.25504,2945.39626,2874.10416,2689.07896,3358.03416,3233.74376,2946.9214,2584.33896,2716.65936,2860.21896,3233.06736,3317.59786,3026.01296,2682.70524,3341.05526,3185.51112,2937.10616,3285.50736,2817.84004,3055.18802,3307.32696,3225.14816,2721.89924,2918.9624,3270.96476,2579.72754,3285.50736,3246.96776,2919.6236,2936.5716,2866.29788,3189.90088,3308.64936,2580.37176,2905.6605,3331.79376,3183.87812,3075.04056,3163.69152,2555.59576,2763.57124,3071.0492,2927.89926,2965.29656,2914.05646,2796.15364,3322.99056,2654.40484,2640.94064,2531.9856,2829.40704,3096.24912,3335.55336,3219.72646,3273.60576,3171.23182,2913.13696,2861.488,3214.45352,3025.65576,2953.85366,2790.35736,2758.66602,3051.2839,2930.96046,2980.2029,3236.43342,2598.57964,2710.21084,3285.50736,3356.71176,3343.48776,2841.70536,2936.25046,3213.24656,3352.54116,2772.01744,2895.82416,3119.90336,2655.47966,3099.65106,2852.10196,2907.30916,3140.53132,3185.51112,3273.87024,3334.89216,3304.68216,2689.71504,2965.93566,2659.79948,3013.693,3343.48776,3273.87024,3233.06736,3201.15976,2938.1372,3233.06736
"13",3322.99056,3066.8312,3323.25504,2945.39626,2874.10416,2709.05896,3358.03416,3233.74376,2946.9214,2584.33896,2716.65936,2860.21896,3233.06736,3317.59786,3026.01296,2772.00524,3380.98626,3185.51112,2939.04616,3285.50736,2817.84004,3055.18802,3307.32696,3225.14816,2721.89924,2918.9624,3270.96476,2579.72754,3285.50736,3246.96776,2919.6236,2936.5716,2866.29788,3189.90088,3308.64936,2625.38976,2905.6605,3343.48776,3198.37812,3075.04056,3163.69152,2555.59576,2782.54514,3071.0492,2927.89926,2965.29656,2914.05646,2796.71364,3322.99056,2655.57984,2662.69064,2531.9856,2829.40704,3096.24912,3335.55336,3225.01646,3273.60576,3171.23182,2928.27386,2861.488,3218.51252,3025.65576,2953.85366,2810.52936,2758.66602,3051.2839,2931.93746,2980.2029,3236.43342,2598.57964,2710.21084,3285.50736,3356.71176,3343.48776,2841.70536,2936.25046,3213.24656,3352.54116,2774.35344,2895.82416,3131.84096,2655.47966,3099.65106,2852.10196,2907.30916,3140.53132,3185.51112,3273.87024,3334.89216,3304.68216,2702.07504,2965.93566,2659.79948,3027.156,3343.48776,3273.87024,3233.06736,3217.21376,2938.1372,3233.06736
"14",3322.99056,3066.8312,3323.25504,3030.35626,2874.10416,2745.20896,3358.03416,3233.74376,2946.9214,2584.33896,2716.65936,2884.32696,3233.06736,3317.59786,3026.01296,2789.73524,3380.98626,3186.83752,2939.04616,3285.50736,2856.84024,3055.18802,3307.32696,3225.14816,2721.89924,2918.9624,3270.96476,2579.72754,3285.50736,3246.96776,2919.6236,2936.5716,2866.29788,3189.90088,3308.64936,2652.05376,2905.6605,3343.48776,3198.37812,3075.04056,3163.69152,2555.59576,2803.65714,3071.0492,2927.89926,2965.29656,2925.42746,2835.71384,3322.99056,2680.35984,2665.69064,2531.9856,2829.40704,3096.24912,3335.55336,3225.01646,3273.60576,3171.79682,2928.27386,2862.048,3223.51552,3025.65576,2953.85366,2810.52936,2758.66602,3066.4208,2940.17546,2985.4929,3236.43342,2598.57964,2732.05084,3285.50736,3356.71176,3343.48776,2841.70536,2936.25046,3213.24656,3358.03416,2783.15344,2917.76536,3131.84096,2655.47966,3099.65106,2852.10196,2946.73216,3155.66822,3185.51112,3273.87024,3334.89216,3304.68216,2704.97504,2965.93566,2659.79948,3027.156,3343.48776,3273.87024,3233.06736,3217.21376,2938.1372,3233.06736
"15",3322.99056,3066.8312,3323.25504,3043.79626,2898.21216,2748.14896,3358.03416,3233.74376,2946.9214,2584.33896,2716.65936,2888.55096,3233.06736,3317.77266,3026.01296,2789.73524,3380.98626,3201.97442,2939.04616,3285.50736,2857.92594,3055.18802,3307.32696,3225.14816,2721.89924,2918.9624,3343.48776,2579.72754,3285.50736,3246.96776,2919.6236,2936.5716,2866.29788,3189.90088,3308.64936,2652.05376,2905.6605,3343.48776,3198.37812,3075.04056,3163.69152,2555.59576,2803.65714,3071.0492,2927.89926,2965.29656,2925.42746,2836.79954,3322.99056,2689.66984,2687.29864,2591.4006,2829.40704,3096.24912,3335.55336,3225.01646,3273.60576,3171.79682,2928.27386,2862.048,3223.51552,3025.65576,2991.86366,2810.52936,2758.66602,3066.4208,2940.17546,2985.4929,3237.90022,2598.57964,2732.09084,3285.50736,3356.71176,3343.48776,2849.86536,2936.25046,3213.24656,3358.03416,2783.15344,2932.90226,3146.97786,2655.47966,3099.65106,2852.10196,2946.73216,3155.66822,3185.51112,3273.87024,3334.89216,3304.68216,2704.97504,2991.28566,2659.79948,3027.156,3343.48776,3273.87024,3233.06736,3217.21376,2956.4232,3233.06736
"16",3322.99056,3066.8312,3323.25504,3043.79626,2898.21216,2748.14896,3358.03416,3233.74376,2946.9214,2635.84896,2716.65936,2888.55096,3233.06736,3317.77266,3026.01296,2789.73524,3380.98626,3201.97442,2971.06616,3285.50736,2858.64994,3055.18802,3307.32696,3225.14816,2721.89924,2937.2484,3343.48776,2579.72754,3285.50736,3246.96776,2919.6236,2948.5026,2866.76188,3189.90088,3308.64936,2652.05376,2916.3475,3343.48776,3236.58662,3075.04056,3163.69152,2600.16276,2803.69714,3071.0492,2927.89926,2965.29656,2925.42746,2836.79954,3322.99056,2706.06984,2687.29864,2611.5726,2853.51504,3096.24912,3335.55336,3225.01646,3273.60576,3171.79682,2928.27386,2862.048,3223.51552,3025.65576,2991.86366,2810.52936,2758.66602,3066.4208,2940.17546,2985.4929,3237.90022,2598.57964,2732.86584,3285.50736,3356.71176,3343.48776,2870.03736,2936.25046,3213.24656,3358.03416,2805.67344,2932.90226,3146.97786,2655.47966,3099.65106,2852.10196,2946.73216,3155.66822,3185.51112,3273.87024,3334.89216,3304.68216,2769.27504,2991.28566,2659.79948,3039.087,3343.48776,3273.87024,3233.06736,3217.21376,2956.4232,3233.06736
"17",3322.99056,3066.8312,3323.25504,3043.79626,2902.43616,2776.79896,3358.03416,3233.74376,2946.9214,2656.02096,2716.65936,2888.55096,3233.06736,3328.44566,3026.01296,2790.45924,3380.98626,3201.97442,2971.06616,3285.50736,2859.20994,3055.18802,3307.32696,3225.14816,2721.89924,2937.2484,3343.48776,2579.72754,3285.50736,3246.96776,2919.6236,2948.5026,2866.76188,3189.90088,3308.64936,2652.05376,2916.3475,3343.48776,3236.58662,3075.04056,3163.69152,2626.34276,2803.69714,3071.0492,2927.89926,2965.29656,2925.42746,2836.79954,3322.99056,2723.23984,2781.59864,2611.5726,2857.73904,3096.24912,3335.55336,3225.01646,3273.60576,3171.79682,2928.27386,2868.448,3223.51552,3025.65576,2991.86366,2810.52936,2758.66602,3066.4208,2940.17546,2985.4929,3237.90022,2598.57964,2732.86584,3285.50736,3356.71176,3343.48776,2870.03736,2936.25046,3213.24656,3358.03416,2805.67344,2932.90226,3146.97786,2691.81966,3099.65106,2852.10196,2946.73216,3155.66822,3185.51112,3273.87024,3334.89216,3304.68216,2769.27504,3017.06066,2659.79948,3039.087,3343.48776,3273.87024,3233.06736,3217.21376,2956.4232,3233.06736
"18",3322.99056,3066.8312,3323.25504,3043.79626,2902.43616,2780.35896,3358.03416,3233.74376,3004.4814,2656.02096,2726.79966,2888.55096,3233.06736,3328.44566,3026.01296,2791.01924,3382.11126,3201.97442,2987.83806,3285.50736,2860.41594,3055.18802,3307.32696,3225.14816,2721.89924,2937.2484,3343.48776,2579.72754,3285.50736,3246.96776,2937.9096,2948.5026,2903.68608,3189.90088,3308.64936,2652.05376,2916.3475,3343.48776,3236.58662,3075.04056,3163.69152,2626.34276,2804.25714,3071.0492,2927.89926,2965.29656,2925.42746,2836.79954,3322.99056,2724.63984,2801.96864,2611.5726,2857.73904,3096.24912,3335.55336,3225.01646,3273.60576,3171.79682,2928.27386,2868.448,3223.51552,3025.65576,2991.86366,2810.52936,2758.66602,3066.4208,2940.17546,2985.4929,3237.90022,2620.52084,2789.51204,3285.50736,3356.71176,3343.48776,2870.03736,2936.25046,3213.24656,3358.03416,2812.55344,2932.90226,3146.97786,2692.95066,3200.68106,2852.10196,2946.73216,3197.08622,3185.51112,3273.87024,3334.89216,3304.68216,2769.27504,3036.09566,2659.79948,3039.087,3343.48776,3273.87024,3233.06736,3217.21376,2956.4232,3233.06736
"19",3322.99056,3106.6172,3323.25504,3043.79626,2902.43616,2811.13896,3358.03416,3233.74376,3004.4814,2656.02096,2726.79966,2888.55096,3233.06736,3328.44566,3026.01296,2792.19424,3382.11126,3201.97442,2987.83806,3285.50736,2860.41594,3055.18802,3307.32696,3225.14816,2721.89924,2937.2484,3343.48776,2579.72754,3285.50736,3246.96776,2937.9096,2948.5026,2911.11008,3189.90088,3308.64936,2652.05376,2916.3475,3343.48776,3242.27562,3075.04056,3163.69152,2626.34276,2805.03214,3071.0492,2927.89926,2965.29656,2925.42746,2836.79954,3322.99056,2724.63984,2810.06864,2611.5726,2857.73904,3096.24912,3335.55336,3225.01646,3273.60576,3171.79682,2928.27386,2868.448,3223.51552,3025.65576,2991.86366,2810.52936,2758.66602,3066.4208,2940.17546,2985.4929,3239.65022,2635.65774,2789.51204,3285.50736,3356.71176,3343.48776,2870.03736,2936.25046,3213.24656,3358.03416,2831.52734,2932.90226,3146.97786,2692.95066,3200.68106,2878.11796,2946.73216,3197.08622,3185.51112,3273.87024,3334.89216,3304.68216,2769.27504,3038.61566,2659.79948,3039.087,3343.48776,3273.87024,3233.06736,3217.21376,2956.4232,3233.06736
"20",3322.99056,3106.6172,3323.25504,3043.79626,2902.43616,2811.17896,3358.03416,3233.74376,3070.1514,2656.02096,2726.79966,2888.55096,3233.06736,3328.44566,3026.01296,2792.19424,3382.11126,3201.97442,2987.83806,3285.50736,2860.41594,3055.18802,3307.32696,3225.14816,2721.89924,2937.2484,3343.48776,2579.72754,3285.50736,3246.96776,2937.9096,2948.5026,2911.11008,3189.90088,3308.64936,2652.05376,2916.3475,3343.48776,3242.27562,3075.04056,3165.01792,2626.34276,2805.03214,3071.0492,2927.89926,2965.29656,2925.42746,2836.79954,3322.99056,2726.94984,2810.06864,2611.5726,2857.73904,3096.24912,3335.55336,3225.01646,3273.60576,3171.79682,2941.04406,2881.408,3223.51552,3025.65576,3038.81366,2810.52936,2758.66602,3066.4208,2940.17546,2985.4929,3245.14322,2635.65774,2789.51204,3285.50736,3356.71176,3343.48776,2870.03736,2936.25046,3213.24656,3358.03416,2831.52734,2945.67246,3146.97786,2709.44066,3202.43106,2887.20996,2946.73216,3197.08622,3185.51112,3273.87024,3334.89216,3304.68216,2769.27504,3038.61566,2659.79948,3039.087,3343.48776,3273.87024,3233.06736,3217.21376,2956.4232,3233.06736
"21",3322.99056,3106.6172,3323.25504,3043.79626,2966.79666,2850.72896,3358.03416,3233.74376,3083.5914,2656.02096,2726.79966,2888.55096,3233.06736,3328.44566,3026.01296,2831.19444,3382.11126,3201.97442,2987.83806,3285.50736,2861.59094,3055.18802,3307.32696,3225.14816,2721.89924,2937.2484,3343.48776,2579.72754,3285.50736,3246.96776,2937.9096,2970.9656,2911.11008,3189.90088,3308.64936,2652.05376,2916.3475,3343.48776,3242.27562,3075.04056,3165.01792,2626.34276,2805.03214,3071.0492,2927.89926,2965.29656,2925.62906,2868.47054,3322.99056,2726.94984,2812.40464,2611.5726,2857.73904,3096.24912,3335.55336,3229.55946,3273.60576,3213.21482,2941.04406,2881.408,3223.51552,3025.65576,3052.25366,2810.52936,2767.78512,3066.4208,2940.17546,2985.4929,3245.14322,2635.65774,2789.51204,3285.50736,3356.71176,3343.48776,2870.03736,2936.25046,3213.24656,3358.03416,2831.52734,2945.67246,3146.97786,2709.44066,3202.43106,2891.80996,2946.73216,3197.08622,3185.51112,3273.87024,3334.89216,3304.68216,2769.27504,3038.61566,2659.79948,3039.087,3343.48776,3273.87024,3233.06736,3217.21376,2956.4232,3233.06736
"22",3322.99056,3106.6172,3323.25504,3043.79626,2966.79666,2851.28896,3358.03416,3233.74376,3083.5914,2656.02096,2726.79966,2888.55096,3233.06736,3328.44566,3026.01296,2832.28014,3382.11126,3201.97442,2987.83806,3285.50736,2861.59094,3055.18802,3307.32696,3233.93946,2721.89924,2937.2484,3343.48776,2579.72754,3285.50736,3246.96776,2937.9096,2989.4646,2911.11008,3189.90088,3308.64936,2652.05376,2916.3475,3343.48776,3242.27562,3075.04056,3165.01792,2626.34276,2805.03214,3071.0492,2927.89926,2965.29656,2925.62906,2868.47054,3322.99056,2726.94984,2812.40464,2611.5726,2857.73904,3096.24912,3335.55336,3229.55946,3273.60576,3213.21482,2941.04406,2881.408,3223.51552,3025.65576,3052.25366,2810.52936,2767.78512,3066.4208,2940.17546,2985.4929,3245.14322,2635.65774,2791.66874,3285.50736,3356.71176,3343.48776,2870.03736,2936.25046,3213.24656,3358.03416,2831.52734,2945.67246,3146.97786,2709.44066,3202.43106,2891.80996,2947.40416,3197.08622,3185.51112,3273.87024,3334.89216,3306.20246,2769.27504,3038.61566,2659.79948,3039.087,3343.48776,3273.87024,3233.06736,3217.21376,2956.4232,3233.06736
